Text_id,Text,Category,entity,entity_ID,Priority,Source,Target,Domain 1,Domain 2,Parent_entity,Hierarchy_level
,"The hoop is made of a cluster of four proteins, collectively called cohesin. Cohesin has other important roles in the cell too: in particular, it holds onto the pieces of chromosomes (called chromatids) as they separate after replication when cells divide. Cohesin hoops attach the chromosomes to the spindle of protein fibers on which this divvying up of genetic material happens; that’s how the protein got its name. How big a loop is formed by this lasso- style sliding of the cohesin “knot” depends partly on another protein, called CCCTC- binding factor or CTCF. In some situations, CTCF seems to activate other enhancers rather than suppressing them. Regulation can also involve removing CTCF to free the knot and allow chromatin loops to restructure. That seems to be the job of a noncoding RNA molecule called Jpx RNA that is involved in X inactivation. Jpx RNA can bind to DNA at the sites normally occupied by CTCF, displacing the protein, which can then activate the RNA gene that is vital to Xist inactivation. Without Jpx, X inactivation can’t occur properly, a condition that is lethal for developing female embryos.",un-dogma,Enhancer,Enc,Enc6,Protein,DNA,non-linear DNA interactions,Gene Regulation,DNA,2
,"They found that the chromatin seemed to be divided into six distinct “compartments,” which were much the same in different human cell types. Each compartment has a distinct network of “contacts” between different parts of the chromatin— rather like different social networks— as well as a distinct class of epigenetic marks, like friends who share the same tastes in clothing. Each compartment contains many dense clusters of DNA and other molecules, called topologically associating domains or TADs; the fancy name really just means the different molecular components sit together in the same spatial location.",un-dogma,Protein complex,Prot_C,TAD1,DNA,Other,Chromatin Structure,Signaling Network,Protein,2
,"...Frank Grosveld and Wouter de Laat that there are “chromatin hubs” in which active genes and regulatory elements cluster to ensure robust and efficient transcriptional regulation. Again, these features demonstrate that the three- dimensional arrangement of chromatin somehow matters. It seems that “insulator” control elements on DNA play a key role in partitioning this spatial structure into TADs.",un-dogma,Protein complex,Prot_C,TAD2,DNA,DNA,non-linear DNA interactions,Chromatin Structure,Protein,2
,...expression is regulated not so much by switches as by committee.,un-dogma,Protein complex,Prot_C,TAD3,Phenotype,Other,Gene regulation,,Protein,2
,"...it seems that there are distinct groups of DNA, transcription factors and other molecules that are inclined to gather together. But exactly they where gather— which room, you might say— varies between one cell and the next.",un-dogma,Protein complex,Prot_C,TAD4,Protein,Transcription,Signaling Network,,Protein,2
,"Robert Tjian and his colleagues measured how long the components actually stay bound to one another in a TAD, and found that this duration is only about seconds. “I was so shocked that it took me six months to come to grips with my own data,” says Tjian. “How could a low- concentration protein ever get together with all its partners to trigger expression of a gene, when everything is moving at this unbelievably rapid pace?” Evidently, the committee needs to be very flexible. There might be no seating plan, nor any requirement that all members are present, so long as they have a quorum. The process may be literally rather fluid........unlikely chance encounter of all the right molecules, these molecules have chemical properties that make them likely to cocondense into a long- lived cluster. Their regulatory work would then be a cooperative affair involving many repeated binding events, rather like the committee reaching a decision through many individual conversations among its members, even though they might never manage all to sit down in the same room at the same time.",un-dogma,Protein complex,Prot_C,TAD5,Protein,Protein,Signaling Network,,Protein,2
,"What would make certain molecules, like transcription factors or enhancer regions of DNA, apt to congregate while excluding other molecules? Perhaps epigenetic markings such as those on histones could tune a region of chromatin’s chemical nature to give it the required affinity; maybe the disordered regions of transcription factors act as “sticky patches”; perhaps long noncoding RNAs comprise a sort of scaffolding that interacts with some of the components of the condensate and holds them all together; perhaps it’s a bit of all of these. No one is really sure yet....They found that, while the switch in an embryo’s state that these TFs induce takes several minutes to occur, Zelda and Bicoid bind to chromatin only for a few seconds before detaching. These proteins seem to form hubs that are constantly changing in size and shape, like a swarm of bees buzzing around a hive. The hubs act as a focal point to concentrate other proteins so that they make brief but repeated contact with DNA, somehow collectively triggering a switch in gene activity and consequently in the state of the cells.",un-dogma,Protein complex,Prot_C,TAD6,Protein,DNA,Epigenetics,,Protein,2
,"What’s the point of loading all that digitally precise information into the sequences of DNA, RNA, and proteins if you end up relying on vague molecular affinities and floppy, ill- defined structures?",un-dogma,Protein complex,Prot_C,HW1,Phenotype,Other,Signaling Network,,Protein,2
,"...decisions based on a range of detailed inputs: yes or no? This, in fact, is very much what life is like as we ascend through the hierarchy of its mechanisms. The need is for reliable generic decisions amid a tremendous diversity of experience and circumstance. This typically demands that lots of details be weighed, filtered, and integrated. In the end, what we are talking about here is the management of information: how it flows, how it is combined and integrated, and how it copes with the unexpected. If life’s informational schemes are overspecified, their outputs are liable to be brittle: too fine- tuned to withstand variations and noise. What’s required instead is robustness— which in general demands adaptability and flexibility. It requires not a concentration but a dispersal of power.",un-dogma,Protein complex,Prot_C,HW2,Phenotype,Phenotype,Signaling Network,,Protein,2
,"Changes in gene regulation can be triggered by signals coming from outside the cell’s nucleus, and indeed outside the cell itself: the arrival of a hormone in the bloodstream, say (which might induce a cascade of kinase activity), or developmental signals from surrounding tissues. These messages are conveyed through networks of interacting proteins in the cytoplasm. Likewise, protein networks interpret and respond to the messages coming in the other direction: from the nucleus, in the form of altered expression levels of genes. The “signaling” goes both ways. Or rather, it goes ways. Bear in mind that the very notion of a all “signal” is clearly a metaphor borrowed from electrical engineering, with the implication that it travels down some pathway to trigger a process at the far end, perhaps in the digital on/off manner of a light switch. There’s some value in that image, but still it’s a metaphor. Life is elsewhere. What biologists call signaling, says developmental biologist Alfonso Martinez Arias, doesn’t just (or even primarily) activate or suppress gene expression, but “tends to shake the whole of the activity of the cell”— it can alter metabolism, cell adhesion, the internal traffic of molecular packages, and so on.",un-dogma,Gene expression,gen_X,GP3,Environment ,Phenotype,Environmental regulation of phenotype,Signaling Network,Gene expression,1
,"They are a classic example of why it is meaningless to attempt to say what some proteins “do”: the “meaning” of a BMP protein for the organism depends on when and where it is expressed. It’s a messenger, not a message.",un-dogma,Gene expression,gen_X,BMP1,Protein,Phenotype,Signaling Network,,Gene expression,1
,"In the combinatorial BMP signaling pathway, different BMPs can dock into different receptors, and different combinations will have various effects on the cells.... each BMP and the receptors ... each of those entities is a dimeric (two-part) protein assemblage.",un-dogma,Gene expression,gen_X,BMP2,Protein,Protein,Signaling Network,protein interaction,Gene expression,1
,"Yet although they are not highly selective, the various BMPs do have preferences for certain receptors. In 2020 Michael Elowitz and his coworkers set out to understand the rules of this important signaling hub. They began by characterizing the various possible combinations, looking at the binding propensities between ten major mammalian forms of BMPs and seven receptor subunits (all in mouse cells). That meant studying a lot of combinations, but it was made possible with an automated robotic system for carrying out the reactions in cell cultures....The researchers deduced the preferences from the strength of the “output signal”: the activating effect on Smad proteins inside the cells. They engineered the mouse cells so that the Smads would turn on a gene that encodes a yellow fluorescent protein. The output signal for a given set of BMPs and receptor subunits was then gauged from the easily monitored measure of how brightly the cells fluoresced. It was like activating a slot machine by putting a BMP coin (of which there are ten types) and two receptor coins (seven types) into three slots, and seeing what the machines does in response. The interactions, although promiscuous, were far from “anything goes.” There were definite rules about the effects that different BMP/ receptor combinations had. For example, certain BMPs have much the same effect as one another and are interchangeable, while others do not. One BMP plus two receptor subunits might, for example, work as well as an assembly of three entirely different components. Or one assembly might tolerate the swapping of one specific BMP for another, so long as the receptor stays the same. Sometimes two swapped components might have independent effects, so that their combined effect is a simple sum. Sometimes, in contrast, the effects might mutually reinforce each other, or cancel out. In general the BMPs could be grouped according to whether they will have the same effect in a given context, such as a certain cell type. The researchers looked at two types of cell: epithelial (organ lining) cells from mouse mammary glands, and mouse embryonic stem cells. They found that, say, a pair of BMPs might substitute for each other in one type of cell but not in another. It’s a little like the way you can substitute the word for and still retain the same right correct meaning in the context of the sentence “That’s the right answer,” but not “That’s my right hand.” This would explain why the biological effect of a given BMP has been seen previously to differ in different tissues. For example, the protein denoted BMP9 can substitute for BMP10 in the BMP pathway that leads to formation of blood vessel networks, but not in the pathway involved in heart development....Such context dependence is hard to reconcile with the idea that molecular communication depends on highly selective recognition and binding processes— in which case, either you have the right match or you don’t....Why does BMP signaling work in this apparently complicated way, in which the signal can use many different inputs, sometimes interchangeably and sometimes not? Elowitz’s team thinks that the answer is that it gives you more for less. If there’s only one way a given component (such as a BMP) can work— if you have to give it the right pair of receptor subunits or else it does nothing— then there are only a few combinations of the elements that will function. But if element is equivalent, there’s no control— you’re always likely every to have some components that will work, so it might be impossible to turn the signal down or off. With a combinatorial system you have many more options that will do the job, while retaining distinctions of use and meaning. It’s a little like the way languages work: there’s nearly always more than one combination of words that will convey much the same meaning, but those combinations aren’t arbitrary. In many particular contexts, some choices work better— convey a clearer or more emphatic meaning— than others. One advantage of such combinatorial diversity of outputs is that it allows the molecules to convey distinct messages to a wider variety of cell types— and so, in a developing tissue, to produce more complex patterning with a small repertoire of signaling molecules. One group of cells in the developing embryo could be assigned to becoming cartilage, say; another group to bone; and others to other fates. The many possible combinations might create some fuzziness in the criteria for whether a cell adopts one fate or another. But the researchers think this might be sharpened by operating in conjunction with other signaling systems— a bit like the way the meaning of a sentence can be sharpened by the context created by others that precede and follow it....In particular, a pathway involving the Wnt family of proteins is similarly central to early development, and seems often to operate alongside BMP signaling. Sometimes the pathways antagonize one another (for example, Wnt proteins suppress the effects of BMPs); sometimes they enhance each other. The Wnt pathway might follow similar combinatorial rules, although that’s yet to be tested experimentally...",un-dogma,Gene expression,gen_X,BMP3,Protein,Phenotype,Signaling Network,protein interaction,Gene expression,1
,"It’s possible that making promiscuous, reconfigurable networks doesn’t just convey advantages but perhaps is the only way a complicated system like our cells work, if it is to be robust against can ineluctable randomness and unpredictability in the fine details. The operational principles exemplified by gene- regulating condensates and signaling pathways like the BMP system— with their molecular promiscuity, their combinatorial, fuzzy logic, their versatility for addressing and promoting many different cell states, and their apparent evolvability— may well be a sine qua non for multicellular organisms in which genetically identical cells work together in diverse, specialized states...Biological systems generally have this robustness: as we saw earlier, if we disable a gene that looks at face value to be critical to survival, often the organism barely seems to notice. It will readjust the interactions and pathways in its gene and protein networks to compensate. The redundancy and the compensatory function of proteins in a family, as illustrated by the BMP system, might be a key part of that ability...Cellular systems are, after all, very noisy",un-dogma,Gene expression,gen_X,BMP4,Phenotype,Other,Signaling Network,,Gene expression,1
,"It seems likely that metazoans have evolvability. One evolved this of the odd features of transcription factors that bind to DNA is that, in eukaryotes, the base sequences that they recognize are often surprisingly short— perhaps six or so base pairs long. This compromises the selectivity of their binding, because, if you pick a six- base sequence at random, it’s likely that you’ll find a lot of copies throughout the genome.",un-dogma,Transcription factor,Tr_F,ZE2,DNA,DNA,Plasticity and redundancy,,Protein,2
,"But the idea of causal emergence doesn’t deny that a system can be dissected into its constituent elements, nor does it require anything to be added to their interactions. Rather, it asserts that we can’t of the large- scale behavior as originating primarily speak of the cause among those microscale interactions. To talk about causes in a meaningful sense, we have to acknowledge that there are higher- level entities and influences that must be recognized as every bit as real and fundamental as their constituent parts, and not just as arbitrary ways are the causes of what transpires— and they to aggregate them. These are not just the sum of lots of microcauses.",un-dogma,Network,CEM,CEM1,Phenotype,Phenotype,,,Network,1
,"Gene and protein networks linked via transcription factors are, however, only one way in which gene regulation works. We saw, for example, that regulation in animals is often carried out by long noncoding RNA molecules—and Capsaspora has an abundance of these too. Regulation is also managed by changes to the way chromatin is packaged, and by the coming together (in ways that are still not fully understood) of a gene with enhancer elements on some distant part of the chromosome. But Capsaspora doesn’t have remote enhancers, suggesting that perhaps these were what enabled organisms to progress beyond loose collaborations of autonomous cells to become permanent multicellular assemblies. The regulatory promoter sites in Capsaspora tend to be close to the respective genes, and only a few proteins congregate in the regulatory complexes, in contrast to the rich variety of proteins and other molecules that turn up (perhaps as liquid-like condensates) in the clusters involved in our own regulatory processes. Ruiz-Trillo and colleagues think that those latter, very complex structures might have been made possible with the advent of enzymes that can reshape and reorganize chromatin enabling a wider variety of interactions within the genome and thereby expanding the combinatorial possibilities for this interacting with that.",un-dogma,Transcription factor,Tr_F,ZE4,Protein,DNA,Signaling Network,Gene Regulation,Protein,2
,"The switch to multicellularity seems, then, to involve the appearance not of more primary genetic resources— more or different genes— but of new ways to regulate them.",un-dogma,Transcription factor,Tr_F,ZE1,Phenotype,Phenotype,Gene regulation,multicellularity,Protein,2
,"Ultimately such “non-Darwinian”
changes also tend to arise from
random genomic mutations. These can become fixed in populations
not by selection but just by sheer chance: organisms that contain a
given mutation just happen to survive, and not because they are
best adapted. This process, called random genetic drift, is especially
salient in small populations, where survival may be more of a lottery:
there’s a greater chance that the “fittest” organisms might simply
have an unlucky encounter with a predator.",un-dogma,Gene and genome,gen,GDD2,DNA,DNA,Random genetic drift,,Gene and genome,1
,"...the genomic changes that promote greater complexity of organisms, such as regulatory changes that permit the advanced multicellularity of metazoa, might have occurred not because they are adaptive but through random genetic drift. Is there, after all, really such an obvious advantage to being multicellular? If so, we don’t know what it is.",un-dogma,Gene and genome,gen,GDD3,Phenotype,Phenotype,Signaling Network,multicellularity,Gene and genome,1
,"They considered fragments of genome sequences called nonexonic elements, which are sequences that fall outside of the exons that encode protein structures. They looked outside not only protein- coding sequences but also outside of sequences known to encode regulatory RNAs— that is, outside of what are now often called noncoding genes. Their hypothesis was that if some of these nonexonic elements are found to be highly conserved— to recur more or less unchanged in the genomes of different species-we can assume they have some functional role and so are subjected to selective pressure which preserves them: they aren’t just random junk that would be expected quickly to degenerate and diverge between different species. Such conserved nonexonic elements (CNEEs) will probably have regulatory functions.",un-dogma,non-exonic DNA,NE_D,NE1,DNA,DNA,regulatory DNA,,DNA,2
,"They found that, rather than there being smooth and gradual changes in the frequencies of (conserved nonexonic elements) CNEEs, three distinct eras of change seem to have occurred over the past 650 million years. Until about 300 million years ago, when mammals split from birds and reptiles, changes in regulation seem to have happened mostly in parts of the genome close to transcription factors and the key developmental genes that they control. Then between 300 and 100 million years ago those changes tailed off, and instead there were changes near genes that code for the protein molecules serving as receptors of signals at the cell surface. In other words, what seemed to matter for these evolutionary changes was a shift in the way cells talk to one another. Finally, since 100 million years ago, as placental mammals (that is, all mammals except marsupials and monotremes like the echidnas) developed, the regulatory changes seem to be associated with mechanisms for modifying protein structure after translation, especially for proteins that are associated with signal transduction in cells.",un-dogma,non-exonic DNA,NE_D,NE2,DNA,Phenotype,regulatory DNA,,DNA,2
,In all cases the action is taking place not at the genetic level but at higher levels of network organization (which nevertheless leave traces in the genomes).,un-dogma,Network,CEM,CEM2,Other,Other,Signaling Network,,Network,1
,"All we can hope to find there are echoes of the true causal factors that happened at a higher level of organization— in particular, changes within the networks of interaction between and regulation of the molecular components, and changes in the ways cells themselves interact, stick, and collectively transform one another.",un-dogma,Cell and organism,cell_org,D3,Phenotype,Other,Signaling Network,,Cell and organism,1
,"Lancaster and colleagues traced the change to the way a particular gene called ZEB2 was expressed. The ZEB2 gene product is a transcription factor that regulates differentiation of the neuronal precursor cells. The crucial factor seemed to be not what this gene expresses but when it is expressed: it happens earlier in the ape brain organoids than in the human ones. When the researchers manipulated the human organoids so that they expressed ZEB2 earlier, the organoids looked more like those of a gorilla. This isn’t to suggest that all the cognitive differences between humans and other great apes are created by this difference in the timing of a change in cell shape. But it does show that at least a part of the distinction may come from changes in the precise dynamics—the timing—of gene regulation, and not in any mutation of a key “cognition gene.”.....As François Jacob observed decades ago, “what makes one vertebrate different from another is a change in the time of expression and in the relative amounts of gene products rather than the small differences observed in the structure of these products. It is a matter of regulation rather than structure.” What Jacob did not stress, but we now see, is that for this very reason it is at the level of regulatory networks, and not at the level of genes, that the causation here becomes focused.",un-dogma,Transcription factor,Tr_F,ZE5,Transcription,Phenotype,Cell State,transcripting timing,Protein,2
,"Epigenetic effects turn genes on and off or ramp their activity up or down. The cells make the commitment to differentiate: they acquire a specific fate. But cells don’t have their fates assigned by some internal instruction that kicks in at the appropriate stage of development. Rather, these fates are collective decisions— contextual, contingent, and made in the moment.",un-dogma,Epigenetics,Epi_gen,W1,Transcription,Phenotype,Cell State,,Epigenetics,1
,...that genes don’t just act at these decision points: they (collectively) shape the whole landscape.,un-dogma,Epigenetics,Epi_gen,W2,DNA,Phenotype,Cell State,,Epigenetics,1
,...canalization to reflect the robustness of the developmental process: the ability of an organism to produce a consistent phenotype despite variations in genotype or environment.,un-dogma,Epigenetics,Epi_gen,W3,Phenotype,Phenotype,Cell State,,Epigenetics,1
,"Not a single cell that goes sequentially through all these transformations; rather, the ball’s trajectory traces out the evolution of a cell lineage created by the replication and division of many cells. Each cell inherits the epigenetically modified genome of its parent cell, in which some genes have been silenced while other are active—but it can incur further epigenetic modification, guided by the signals coming from outside, that change its fate still further....The language of the Waddington landscape is already more abstract than this, and more zoomed- out. What do the grid coordinates and the contours of the landscape actually refer to? Where are all those molecular conversations in this picture? The challenge of understanding the vital process of cell differentiation and cell- fate decisions is, first, to put the landscape image on a more precise, experimentally based footing, and second, to explain how it connects with what the genes, proteins, and so on are actually up to.",un-dogma,Epigenetics,Epi_gen,W4,DNA,Phenotype,Cell State,Signaling Network,Epigenetics,1
,"Even knowing the entire transcriptome and proteome of a cell won’t, however, tell us everything about what the cell is with doing these molecules, since some have different roles in different contexts....What a given signal “means”— how a cell responds— does not, in general, depend on just on the nature of the signal. It is also dependent on the existing state of the cell itself which is to say, what the cell has previously experienced.... This is another example of why living entities differ from traditional machines, for which pressing a particular button will generally have a reliable and predictable effect.",un-dogma,Cell and organism,cell_org,D4,Phenotype,Phenotype,Cell State,,Cell and organism,1
,"Single- cell RNA sequencing has shown that, as cells become committed to specific fates, they develop distinct patterns of gene activity. That’s to say, there are a limited number of distinct profiles of transcription— and as embryo growth proceeds, these evolve toward those found in mature cell types such as the neurons of the spinal cord or blood cells.....In other words, at a given instant in development, not all the cells that belong to a blood lineage have adopted the same RNA profile: some have already become more “blood- like” than others. Thus the switching of cell states often happens gradually rather than by abrupt switching at a sharply defined fork in the landscape. That process, says cell biologist Jay Shendure, “doesn’t fit well with the branching diagrams of discrete cell types and abrupt switches that we tend to want to force reality into.”",un-dogma,Cell and organism,cell_org,WA1,RNA,Phenotype,Cell State,,Cell and organism,1
,"What it does instead is to change the way cells get distributed within it: it’s as if the landscape as a whole gets “tipped” to send balls rolling down the canalized paths to end up disproportionately in certain valleys while being depleted from others. In other words, the cell- fate landscape seems to be a rather robust object that transcends details of the genome. It is defined rather by the networks of interaction between DNA, RNA, and proteins, from which certain stable communities of molecules emerge. And it defines what is possible for the organism at the level of cells.",un-dogma,Cell and organism,cell_org,WA2,Phenotype,Phenotype,Cell State,,Cell and organism,1
,"Part of this dynamical landscape of cell fates was mapped out in 2007 by Sui Huang and his collaborators. They looked at how one of the HSC progeny, a multipotent cell type called a myeloid pro- or the precursor genitor cell, differentiates into either erythrocytes or the precursor of certain white blood cells. This bifurcation is dominated by two transcription factors, called Gata1 and PU.1. An excess of the former biases the switch toward the “erythroid” state, while more PU.1 sends it toward the white blood cell types (the “myeloid” state). But what determines that balance? It’s complicated. For one thing, both proteins are, as you might put it, self- promoting: each can bind to the promoter site of its own gene and boost its expression. The more you have, the more you get. But at the same time, each of the proteins can inhibit the production of the other, like a pair of highly competitive egotists. So there are sensitive feedbacks in this system, and it’s not at all obvious which way it will go.",un-dogma,Cell and organism,cell_org,WA3,Protein,Transcription,Signaling Network,Cell State,Cell and organism,1
,"In effect, then, cells decide on their fate according to their location in three types of space. First, they occupy our familiar three-dimensional space, having specific locations in the tissues of the embryo that determine which neighbors a cell has and what signals it receives. Then there is a location in the gene expression or transcription space, which reflects what kind of cell it is: how stem-like, say, or how mesoderm-like. And the developmental trajectory that the cell lineage takes depends on where it is in the “decision space” of valleys and bifurcations.",un-dogma,Cell and organism,cell_org,SCA1,Transcription,Phenotype,Cell State,Gene Regulation,Cell and organism,1
,"... the ability of a cell to remain in the stem- cell state or to differentiate is regulated by microRNAs. For that reason, mature cells can also be reprogrammed into stem cells using microRNAs.",un-dogma,Cell and organism,cell_org,SCA2,RNA,Transcription,Cell State,Short ncRNA,Cell and organism,1
,"They have shown that oscillatory changes in the expression levels of the Yamanaka factors such as Oct4, Sox2, and Klf4 are crucial for keeping cells in the pluripotent state and preventing the epigenetic changes that cause differentiation. Differentiated cells lose these oscillations— but reprogramming restores them. The researchers showed that the oscillating state is an attractor defined by this handful of genes, within a genome containing many thousands.....For example, most sea urchins attain their adult form via a larval stage called the pluteus. But some species grow to adult form straight from an egg instead. These species have apparently shed the need for the intermediate stage back in their evolutionary past, by changing the expression pattern of a regulatory gene called that, in arthropods and vertebrates, is Otx involved in creating the anterior- posterior axis of the embryo. It is as if the egg “knows” where it wants to go but finds a shortcut.",un-dogma,Cell and organism,cell_org,SCA3,Transcription,Phenotype,Cell State,Development and disease,Cell and organism,1
,"“Signaling,” says Davies, “is not a one- way traffic of orders, but a true conversation of statements, and replies, all in the language of protein biochemistry”— a language mediated by the movements and shape changes of cells producing them.",un-dogma,Cell and organism,cell_org,D5,Protein,Phenotype,Signaling Network,,Cell and organism,1
,"The details, as with many signaling pathways, look horrendously complicated, but the key point is that whether or not a tissue should keep growing is decided by what the cells “feel” from other cells around them. In this way, tissues and organs can feel their own size. Indeed, it’s hard to imagine a better, or perhaps even another, way of controlling the size and shape of organs in creatures like us: via a feedback process in which size becomes self- regulating due to changes in the tension of tissues caused by their growth.",un-dogma,Cell and organism,cell_org,D6,Environment ,Phenotype,Signaling Network,Development and disease,Cell and organism,1
,"One thing does seem plain: life doesn’t make systems that can do or construct a single thing, but produces entities— cells and their genetic, transcriptional, and protein networks— that embody a wide range of options. The trick it must master is then to ensure that, in normal circumstances, the system converges on the outcome(s) favored by natural selection, while still maintaining enough phenotypic evolvable. Evolution does not know, so to speak, what variability to be it is going to need tomorrow— so it must keep options open.",un-dogma,Cell and organism,cell_org,D7,Phenotype,Phenotype,Signaling Network,,Cell and organism,1
,"All the same, the extra digit is often removed surgically for social and aesthetic reasons. The condition is often congenital and inheritable, being associated in particular with a mutation of a genomic region called ZRS— not a gene exactly, but an enhancer that affects the expression of that ubiquitous moderator of development, the gene (Shh). Sonic hedgehog (In the genome’s characteristic go- figure manner, ZRS lies within an intron— a noncoding region— of another gene entirely.)",un-dogma,Enhancer,Enc,Enc7,DNA,Phenotype,Signaling Network,Development and disease,DNA,2
,"Once again, genes don’t encode the of how life unfolds, but rules merely supply the components that enact those rules.",un-dogma,Gene and genome,gen,GDD4,DNA,Phenotype,DNA is not all that,,Gene and genome,1
,"The specialization of some of these cells into different types of neural progenitor cells is influenced by a gradient of Sonic hedgehog (SHH) coming from the notochord. But this produces a rather “noisy” fate- determining signal because of fluctuations in concentration from place to place. As a result, the neural tube does not acquire neatly divided patches of different cell types, but only a rather crudely defined mosaic, with some cells out of place. Sean Megason, Tony Tsai, and their coworkers have shown that a part of the distinctions among these cells created by the SHH signal is that they have different types of adhesion proteins on their surface, and so the different cell types stick to one another with different strengths. As a result, they sort themselves into patches in which their relative mechanically stickiness is well matched. In other words, these differences of cell adhesion correct the errors that result from the noisiness of the SHH signal, generating sharp boundaries between well- sorted cells.",un-dogma,Cell and organism,cell_org,WA4,Environment ,Phenotype,Signaling Network,Development and disease,Cell and organism,1
,"But there’s another oddity associated with Kartagener’s syndrome: around half of people who have it also have a total reversal of the left-right asymmetry of their internal organs, a condition called situs inversus totalis, which can create problems of its own. It is as if, for these people with nonfunctioning cilia, the usual apportioning of organs to the right or left has become totally random, so that there’s a fifty/fifty chance of either. This suggests that the cilia are also somehow involved at the early stage of embryogenesis when left-right asymmetry is established. We now know that at this point the beating cilia create flow patterns in the fluid of the yolk sac. Each acts like a little whisk that stirs the fluid into a vortex. Because of the way the cilia are oriented at the endoderm surface, the net flow goes from right to left at the anterior end of the tissue, and—but more slowly—left to right at the posterior end. In other words, by rotating in a certain direction, the cilia themselves break the left-right symmetry of the embryo, producing a fluid flow that happens in a preferred direction. The positioning of our organs on the correct side is controlled by stirring!",un-dogma,Gene expression,gen_X,SIT1 ,Environment ,Phenotype,Signaling Network,Development and disease,Gene expression,1
,"How, though, does a preferential fluid flow in the liquid outside the embryonic tissue itself get transformed into differences in development? By itself, this directional flow creates a very weak signal for the cells at the surface of the embryo. But the interactions of Nodal and Lefty amplify it—and they do so by a Turing process. Nodal regulates its own expression: it is autocatalytic and can serve as an activator. But Lefty inhibits its expression—and what’s more, the Lefty protein diffuses faster than its Nodal counterpart, as required by the activator-inhibitor scheme. Left to their own devices, Nodal and Lefty create a kind of Turing pattern that is barely a pattern at all: they divide the embryo into two, with one half having relatively high Nodal concentration and the other high Lefty concentration.",un-dogma,Gene expression,gen_X,SIT2,Protein,Phenotype,Signaling Network,Gene Regulation,Gene expression,1
,"...implication— nay, assumption— that our genome sequence is our “operating instructions,” whereas in fact it is just “one layer depicting human uniqueness, and does not by itself reveal the depth of information derived from all the other layers that include the transcriptome, proteome, epigenome, microbiome, immunome, physiome, anatome, and exposome (environment).”",un-dogma,Cell and organism,cell_org,D8,Phenotype,Other,Signaling Network,,Cell and organism,1
,"To put it another way: the disease results from the altered shape of the red blood cells—and HBB mutation can be a causative factor in that, but there’s no inevitability about it.",un-dogma,Mutation,Mut,Mut2,DNA,Phenotype,Development and disease,,DNA,2
,"But the effect of carrying the “cystic fibrosis mutation” can vary hugely between individuals: in some cases, males who have this allele suffer only infertility. The effects of the mutation thus depend on its context, both genetically and environmentally. The disease itself is caused by the state of the lungs, not of the genome.",un-dogma,Mutation,Mut,Mut3,Environment ,DNA,Development and disease,,DNA,2
,"But that still doesn’t mean SRY is either necessary or sufficient for a male phenotype. At least two other key genes are known to be involved: our old friend Sox9, and a gene called SF1 that encodes the protein steroidogenic factor 1. The real work of sex determination is, it seems, done by Sox9, expression of which is boosted by the SRY protein, along with SF1, the protein product of which binds to an enhancer region of Sox9. (Actually it’s even more complicated than that, for Sox9 also activates itself in autocatalytic fashion.) So changes in the expression of Sox9 caused by other factors than SRY can, if they happen in the right place at the right time, direct development toward testis formation. Mutations that affect the regulation of Sox9 in some XX people (who obviously lack SRY altogether)—such as mere duplications of Sox9 in the genome—can produce a male phenotype, albeit often with some developmental problems such as learning disabilities.",un-dogma,Mutation,Mut,Mut4,DNA,Phenotype,Gene regulation,Development and disease,DNA,2
,in an intersection between the mutations that the cancer cell carries and the identity of the cell itself. The context. The type of cell it is (lung? liver? pancreas?). The place where it lives and grows. Its embryonic origin and its developmental pathway. The particular factors that give the cell its unique identity. The nutrients that give it sustenance. The neighboring cells on which it depends.,un-dogma,Mutation,Mut,Mut5,Environment ,Phenotype,,,DNA,2
,"Among the many varied roles that the Wnt protein family plays in development, some of the most dramatic are to be seen in butterflies, where the wing markings of the Nymphalidae (the largest butterfly family) are controlled by the WntA gene. The gene itself varies little between species; what really matters, it seems, are the regulatory elements associated with it, which are switched by the binding of transcription factors. There are many such regulatory elements linked to just this single gene, and some of these are strongly conserved between different species: they seem to underpin the so- called nymphalid ground plan, the basic coloration design on which the wing patterns of many different species are based. But even though butterflies of the genus Heliconius share several of these conserved regulatory elements, they have others that are species- specific, and these seem responsible for the differences in markings between different species. In other words, the wing pattern looks to be the reliable product of a gene regulatory toolkit that many related species share— but it takes only a small loss or gain of some regulatory element to induce a rather sudden and profound phenotypic shift. It seems likely that the same picture applies not just to this literally superficial (albeit adaptively important) aspect of marking patterns but also to changes in the body plans and shapes of animals. In cases like these, focusing on genetic differences between species offers a very thin view of what is really going on— because the real constructive work of development is being done by a shared toolkit, which generates a palette of possible outcomes. Little regulatory tweaks may tip the balance, but they don’t in any real sense encode the outcome themselves. And they are probably not unique either. We saw a similar phenomenon earlier in the way the morphogenetic patterning process that generates a fin may be readily redirected to make an arm. As with the butterfly patterns, such switches can be abrupt, with no intermediate forms, in contrast to the gradualist picture of conventional Darwinian evolution, where change arises from the slow accumulation of tiny effects due to mutation and selection. Rapid phenotypic change is possible precisely because so little is demanded of the genes themselves.",un-dogma,Protein,Prot,MP2,Protein,Phenotype,Signaling Network,Gene Regulation,Protein,1
